,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
0,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173795,258384,0.104167,15.0
1,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173801,260883,0.173611,25.0
2,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",SD,174216,330916,1.12,84.0
3,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173784,317641,0.034722,5.0
4,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173794,258384,0.493056,71.0
5,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173797,258384,0.125,18.0
6,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,174223,242848,0.25,36.0
7,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174158,261131,0.125,20.0
8,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174159,323541,0.0625,10.0
9,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174160,274066,0.125,20.0
10,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174167,337685,0.55,88.0
11,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174171,280889,0.0625,10.0
12,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174176,338653,0.09375,15.0
13,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174221,242848,0.1875,30.0
14,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174158,261131,0.025641,4.0
15,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174159,323541,0.019231,3.0
16,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174176,338653,0.032051,5.0
17,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174221,242848,0.205128,32.0
18,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",SD,173799,225591,0.032895,10.0
19,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174158,261131,0.121795,19.0
20,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174159,323541,0.076923,12.0
21,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174160,274066,0.044872,7.0
22,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174176,338653,0.032051,5.0
23,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,173757,228600,0.016447,5.0
24,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,174176,338653,0.016447,5.0
25,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174158,261131,0.135135,25.0
26,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174159,323541,0.081081,15.0
27,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174171,280889,0.108108,20.0
28,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174221,242848,0.432432,80.0
29,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,174217,330916,0.8,40.0
30,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,174218,330916,0.2,10.0
31,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,173889,274066,1.0,72.0
32,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174049,284817,4.5,324.0
33,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174085,335698,1.0,72.0
34,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174140,338653,1.0,72.0
35,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174142,316006,1.0,72.0
36,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174177,261138,2.0,144.0
37,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174213,226806,4.527778,326.0
38,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,173818,335857,4.0,240.0
39,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,173847,334294,1.0,60.0
40,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,174049,284817,1.0,60.0
