,Fecha de Vencimiento,cajas_x_pallets,Depósito Padre,Dias al Vencimiento,Descripción,Lote,SKU,Cajas Disponibles
0,2/26/2024,260,    CDCDCO1,123,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",010623                        ,6050100007               ,0.0
1,2/26/2024,377,    CDCDCO1,123,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",010723                        ,6030010129               ,290.0
2,2/27/2024,272,       CDPI,124,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",020623                        ,6050100002               ,4074.0
3,2/27/2024,272,    CDCDCO1,124,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",020623                        ,6050100002               ,0.0
4,3/4/2024,80,       CDGD,130,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",080623                        ,6050100004               ,0.0
5,3/4/2024,80,       CDVM,130,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",080623                        ,6050100004               ,554.0
6,3/4/2024,80,    CDCDCO1,130,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",R080623                       ,6030050074               ,0.0
7,3/4/2024,80,    CDCDCO1,130,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",080623                        ,6050100004               ,34.0
8,3/4/2024,108,    CDCDCO1,130,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",080623                        ,6030010026               ,1087.0
9,3/4/2024,144,    CDCDCO1,130,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",080623                        ,6030010019               ,0.0
10,3/4/2024,377,       CDGD,130,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",080723                        ,6030010129               ,285.0
11,3/6/2024,80,    CDCDCO1,132,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",R100623                       ,6030050074               ,0.0
12,3/6/2024,260,       CDGD,132,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",R100623                       ,6030050070               ,0.0
13,3/7/2024,80,       CDPI,133,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",110623                        ,6030010208               ,367.0
14,3/7/2024,80,    CDCDCO1,133,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",110623                        ,6030010208               ,0.0
15,3/7/2024,80,    CDVMZPA,133,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",110623                        ,6030010208               ,2028.0
16,3/8/2024,144,    CDCDCO1,134,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",R120623                       ,6030050071               ,0.0
17,3/9/2024,144,    CDCDCO1,135,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",R130623                       ,6030050071               ,0.0
18,3/9/2024,377,    CDCDCO1,135,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",130723                        ,6040100001               ,29.0
