,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Artículo@Cliente (Facturación) None,Artículo@DESC,Dias Mínimo
0,2,ACEITERA CHABAS S.A.I.C.                ,6010960007               ,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.                      ",120.0
1,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",120.0
2,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                           ",120.0
3,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                           ",120.0
4,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                           ",120.0
5,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.                          ",120.0
6,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010140007               ,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.              ",120.0
7,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010140008               ,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.            ",120.0
8,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.                   ",120.0
9,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010570018               ,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.                          ",120.0
10,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010570019               ,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.                           ",120.0
11,200077,LA AGRICOLA REG.COOP.LTDA.              ,6010900001               ,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL          ",120.0
