,Artículo@Cliente (Facturación) None,Artículo@DESC,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Dias Mínimo
0,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",200077,LA AGRICOLA REG.COOP.LTDA.              ,120.0
1,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",200561,COTAGRO COOP. AGROP.LTDA.               ,120.0
2,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",202697,ROSENTAL DAVID E HIJOS SACI             ,90.0
3,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",202761,DISTRIBUIDORA JOTA BE S.A.              ,120.0
4,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",202821,HIJOS DE BENJAMIN TOVO S.R.L.           ,120.0
5,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",202826,VAZQUEZ Y CIA S.A.                      ,120.0
6,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",204962,CEREALES SANTA LUCIA S.A.               ,120.0
7,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",206635,COOP.AGRIC.Y DE CONSUMO LTDA. SANTA ROSA,120.0
8,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",209944,SAN GABRIEL S.A.                        ,120.0
9,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",215258,MILLAN S.A.                             ,120.0
10,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",215820,UNION AGRICOLA DE AVELLANEDA COOP.LTDA  ,120.0
11,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",216923,COOP.AGR.GAN.GDOR.CRESPO LTDA.          ,120.0
12,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",220240,SUPERMERCADO EUROPA S.R.L.              ,120.0
13,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",220367,PINTO HNOS. S.A.                        ,120.0
14,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",220370,ANTONIAZZI HERMANOS S.A.                ,120.0
