,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
0,SD,173308,241227,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.071429,16.0
1,SD,173329,241227,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.035714,8.0
2,SD,173757,228600,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",0.016447,5.0
3,SD,173784,317641,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.034722,5.0
4,SD,173794,258384,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.493056,71.0
5,SD,173795,258384,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",0.104167,15.0
6,SD,173797,258384,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.125,18.0
7,SD,173799,225591,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",0.032895,10.0
8,SD,173801,260883,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",0.173611,25.0
9,SD,173810,241227,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.196429,44.0
10,SD,173818,335857,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",4.0,240.0
11,SD,173847,334294,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",1.0,60.0
12,SD,173889,274066,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1.0,72.0
13,SD,173889,274066,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",2.0,100.0
14,SD,174026,365411,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.142857,32.0
15,SD,174049,284817,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",4.5,324.0
16,SD,174049,284817,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",1.0,60.0
17,SD,174049,284817,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",2.8,140.0
18,SD,174049,284817,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.089286,20.0
19,SD,174049,284817,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.401786,90.0
20,SD,174085,335698,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1.0,72.0
21,SD,174088,277494,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
22,SD,174090,248894,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.285714,64.0
23,SD,174091,289078,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.196429,44.0
24,SD,174095,331183,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",0.142857,32.0
25,SD,174108,330919,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",0.09375,15.0
26,SD,174140,338653,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1.0,72.0
27,SD,174140,338653,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",1.0,50.0
28,SD,174142,316006,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",1.0,72.0
29,SD,174158,261131,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.125,20.0
30,SD,174158,261131,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",0.025641,4.0
31,SD,174158,261131,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",0.121795,19.0
32,SD,174158,261131,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",0.135135,25.0
33,SD,174159,323541,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.0625,10.0
34,SD,174159,323541,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",0.019231,3.0
35,SD,174159,323541,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",0.076923,12.0
36,SD,174159,323541,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",0.081081,15.0
37,SD,174160,274066,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.125,20.0
38,SD,174160,274066,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",0.044872,7.0
39,SD,174163,321388,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",0.06,3.0
40,SD,174167,337685,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.55,88.0
41,SD,174171,280889,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.0625,10.0
42,SD,174171,280889,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",0.108108,20.0
43,SD,174176,338653,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.09375,15.0
44,SD,174176,338653,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",0.032051,5.0
45,SD,174176,338653,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",0.032051,5.0
46,SD,174176,338653,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",0.016447,5.0
47,SD,174177,261138,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",2.0,144.0
48,SD,174195,330919,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.129464,29.0
49,SD,174198,223397,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",3.333333,200.0
50,SD,174198,223397,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",2.777778,200.0
51,SD,174198,223397,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",1.339286,300.0
52,SD,174198,223397,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",0.892857,200.0
53,SD,174198,223397,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",4.017857,900.0
54,SD,174198,223397,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.892857,200.0
55,SD,174213,226806,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",4.527778,326.0
56,SD,174215,330916,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",2.472222,178.0
57,SD,174216,330916,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",1.12,84.0
58,SD,174217,330916,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",0.8,40.0
59,SD,174218,330916,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",0.2,10.0
60,SD,174221,242848,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",0.1875,30.0
61,SD,174221,242848,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",0.205128,32.0
62,SD,174221,242848,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",0.432432,80.0
63,SD,174222,242848,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",3.0,150.0
64,SD,174223,242848,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",0.25,36.0
65,SD,174224,241245,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",7.114583,1366.0
66,SD,174224,241245,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",0.78125,150.0
67,SD,659905,281096,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",0.136029,37.0
68,SD,660143,334294,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",0.153846,58.0
69,SD,660144,334294,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",0.076923,29.0
70,SD,660197,305223,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.153846,40.0
71,SD,660197,305223,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",0.125,18.0
72,SD,660202,241213,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.666667,72.0
73,SD,660243,282507,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",0.666667,72.0
74,SD,660377,299351,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.030769,8.0
75,SD,660701,228600,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",0.175,14.0
76,SD,660721,301161,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",0.125,10.0
77,SD,660732,335698,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.230769,60.0
78,SD,660732,335698,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.375,54.0
79,SD,660732,335698,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",0.25,68.0
80,SD,660732,335698,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",0.333333,36.0
81,SD,660735,360190,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",1.346154,350.0
82,SD,660753,359653,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.034615,9.0
83,SD,660775,226810,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",2.558824,696.0
84,SD,660782,225582,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",1.0,260.0
85,SD,660782,225582,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",0.153846,40.0
86,SD,660785,261138,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",0.019231,5.0
87,SD,660819,334294,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.076923,20.0
