,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
0,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173795,258384,15.0,0.104167
1,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173801,260883,25.0,0.173611
2,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",SD,174216,330916,84.0,1.12
3,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173784,317641,5.0,0.034722
4,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173794,258384,71.0,0.493056
5,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173797,258384,18.0,0.125
6,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,174223,242848,36.0,0.25
7,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174158,261131,20.0,0.125
8,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174159,323541,10.0,0.0625
9,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174160,274066,20.0,0.125
10,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174167,337685,88.0,0.55
11,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174171,280889,10.0,0.0625
12,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174176,338653,15.0,0.09375
13,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174221,242848,30.0,0.1875
14,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174158,261131,4.0,0.025641
15,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174159,323541,3.0,0.019231
16,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174176,338653,5.0,0.032051
17,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174221,242848,32.0,0.205128
18,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",SD,173799,225591,10.0,0.032895
19,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174158,261131,19.0,0.121795
20,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174159,323541,12.0,0.076923
21,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174160,274066,7.0,0.044872
22,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174176,338653,5.0,0.032051
23,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,173757,228600,5.0,0.016447
24,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,174176,338653,5.0,0.016447
25,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174158,261131,25.0,0.135135
26,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174159,323541,15.0,0.081081
27,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174171,280889,20.0,0.108108
28,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174221,242848,80.0,0.432432
29,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,174217,330916,40.0,0.8
30,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",SD,174218,330916,10.0,0.2
31,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,173889,274066,72.0,1.0
32,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174049,284817,324.0,4.5
33,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174085,335698,72.0,1.0
34,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174140,338653,72.0,1.0
35,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174142,316006,72.0,1.0
36,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174177,261138,144.0,2.0
37,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,174213,226806,326.0,4.527778
38,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,173818,335857,240.0,4.0
39,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,173847,334294,60.0,1.0
40,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",SD,174049,284817,60.0,1.0
41,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,173889,274066,100.0,2.0
42,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,174049,284817,140.0,2.8
43,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,174140,338653,50.0,1.0
44,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,174163,321388,3.0,0.06
45,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,174222,242848,150.0,3.0
46,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",SD,174198,223397,200.0,3.333333
47,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",SD,174198,223397,200.0,2.777778
48,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",SD,174215,330916,178.0,2.472222
49,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,660859,274066,46.0,0.176923
50,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661048,284817,57.0,0.219231
51,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661156,277494,60.0,0.230769
52,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661177,326701,260.0,1.0
53,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661237,338653,40.0,0.153846
54,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661287,261138,20.0,0.076923
55,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661294,325049,20.0,0.076923
56,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661317,354625,20.0,0.076923
57,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661334,223397,647.0,2.488462
58,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661344,241245,1250.0,5.208333
59,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",SD,661294,325049,144.0,1.0
60,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",SD,661039,335857,377.0,1.0
61,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,660721,301161,10.0,0.125
62,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,661039,335857,20.0,0.25
63,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660782,225582,260.0,1.0
64,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660785,261138,5.0,0.019231
65,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,661018,319406,72.0,0.5
66,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,660701,228600,14.0,0.175
67,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661062,242156,200.0,2.5
68,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661280,280889,80.0,1.0
69,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661281,280889,160.0,2.0
70,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661310,307199,48.0,0.6
71,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,660197,305223,40.0,0.153846
72,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661048,284817,140.0,0.538462
73,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661181,363993,20.0,0.076923
74,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661182,363993,20.0,0.076923
75,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661199,274749,20.0,0.076923
76,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661201,241180,20.0,0.076923
77,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661284,354319,260.0,1.0
78,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661286,319406,260.0,1.0
79,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661291,248095,260.0,1.0
80,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661294,325049,260.0,1.0
81,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661344,241245,110.0,0.458333
82,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,660197,305223,18.0,0.125
83,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,660939,248095,72.0,0.5
84,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661019,319406,144.0,1.0
85,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661048,284817,162.0,1.125
86,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661199,274749,18.0,0.125
87,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661294,325049,864.0,6.0
88,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,660939,248095,272.0,1.0
89,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",SD,660997,242156,200.0,0.735294
90,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660202,241213,72.0,0.666667
91,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660243,282507,72.0,0.666667
92,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,660997,242156,200.0,1.851852
93,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,661287,261138,108.0,1.0
94,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",SD,661294,325049,648.0,6.0
95,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661237,338653,40.0,0.153846
96,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661294,325049,260.0,1.0
97,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",SD,661344,241245,17.0,0.070833
98,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",SD,661237,338653,18.0,0.125
99,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660775,226810,696.0,2.558824
100,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660929,331183,68.0,0.25
101,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,660938,331183,266.0,0.977941
102,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661034,277494,136.0,0.5
103,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661066,331183,6.0,0.022059
104,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661294,325049,68.0,0.25
105,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661332,267752,102.0,0.375
106,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",SD,661351,226806,46.0,0.169118
107,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660732,335698,60.0,0.230769
108,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660819,334294,20.0,0.076923
109,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,660858,274066,1020.0,3.923077
110,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661048,284817,700.0,2.692308
111,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661177,326701,780.0,3.0
112,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661198,274749,40.0,0.153846
113,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661199,274749,40.0,0.153846
114,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661282,327955,42.0,0.161538
115,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661344,241245,45.0,0.1875
116,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661351,226806,442.0,1.7
117,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,660732,335698,54.0,0.375
