,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
0,SD,173308,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241227,16.0,0.071429
1,SD,173329,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241227,8.0,0.035714
2,SD,173757,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",228600,5.0,0.016447
3,SD,173784,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",317641,5.0,0.034722
4,SD,173794,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,71.0,0.493056
5,SD,173795,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",258384,15.0,0.104167
6,SD,173797,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,18.0,0.125
7,SD,173799,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",225591,10.0,0.032895
8,SD,173801,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",260883,25.0,0.173611
9,SD,173810,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",241227,44.0,0.196429
10,SD,173818,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",335857,240.0,4.0
11,SD,173847,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",334294,60.0,1.0
12,SD,173889,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",274066,72.0,1.0
13,SD,173889,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",274066,100.0,2.0
14,SD,174026,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",365411,32.0,0.142857
15,SD,174049,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",284817,324.0,4.5
16,SD,174049,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",284817,60.0,1.0
17,SD,174049,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",284817,140.0,2.8
18,SD,174049,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",284817,20.0,0.089286
19,SD,174049,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",284817,90.0,0.401786
20,SD,174085,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",335698,72.0,1.0
21,SD,174088,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",277494,64.0,0.285714
22,SD,174090,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",248894,64.0,0.285714
23,SD,174091,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",289078,44.0,0.196429
24,SD,174095,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",331183,32.0,0.142857
25,SD,174108,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",330919,15.0,0.09375
26,SD,174140,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",338653,72.0,1.0
27,SD,174140,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",338653,50.0,1.0
28,SD,174142,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",316006,72.0,1.0
