,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Pallets Solicitados,Cajas Solicitadas
0,264008,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661362,0.088462,23.0
1,274749,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661199,0.076923,20.0
2,274749,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",SD,661199,0.125,18.0
3,274749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661198,0.153846,40.0
4,274749,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661199,0.153846,40.0
5,274749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661198,0.25,36.0
6,274749,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661199,0.25,36.0
7,274749,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661198,0.023077,6.0
8,274749,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661199,0.023077,6.0
9,225582,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660782,1.0,260.0
10,225582,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,660782,0.153846,40.0
11,225582,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661017,0.153846,40.0
12,365411,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174026,0.142857,32.0
13,261269,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661167,0.769231,200.0
14,274066,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174160,0.125,20.0
15,274066,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174160,0.044872,7.0
16,274066,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,173889,1.0,72.0
17,274066,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,173889,2.0,100.0
18,274066,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,660859,0.176923,46.0
