,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
0,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173795,258384,0.104167,15.0
1,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",SD,173801,260883,0.173611,25.0
2,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173784,317641,0.034722,5.0
3,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173794,258384,0.493056,71.0
4,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",SD,173797,258384,0.125,18.0
5,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174158,261131,0.125,20.0
6,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174159,323541,0.0625,10.0
7,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174160,274066,0.125,20.0
8,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174167,337685,0.55,88.0
9,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",SD,174171,280889,0.0625,10.0
10,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174158,261131,0.025641,4.0
11,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",SD,174159,323541,0.019231,3.0
12,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",SD,173799,225591,0.032895,10.0
13,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174158,261131,0.121795,19.0
14,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174159,323541,0.076923,12.0
15,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174160,274066,0.044872,7.0
16,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",SD,174228,361890,0.032051,5.0
17,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,173757,228600,0.016447,5.0
18,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",SD,174228,361890,0.032895,10.0
19,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174158,261131,0.135135,25.0
20,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174159,323541,0.081081,15.0
21,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",SD,174171,280889,0.108108,20.0
22,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",SD,173889,274066,1.0,72.0
23,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,173889,274066,2.0,100.0
24,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",SD,174163,321388,0.06,3.0
25,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,660859,274066,0.176923,46.0
26,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661156,277494,0.230769,60.0
27,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661287,261138,0.076923,20.0
28,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",SD,661362,264008,0.088462,23.0
29,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",SD,660721,301161,0.125,10.0
30,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660782,225582,1.0,260.0
31,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",SD,660785,261138,0.019231,5.0
32,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",SD,661018,319406,0.5,72.0
33,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,660701,228600,0.175,14.0
34,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661062,242156,2.5,200.0
35,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661280,280889,1.0,80.0
36,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661281,280889,2.0,160.0
37,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",SD,661310,307199,0.6,48.0
38,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,660197,305223,0.153846,40.0
39,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",SD,661181,363993,0.076923,20.0
