,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Pallets Solicitados,Cajas Solicitadas
0,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",260883,SD,173801,0.173611,25.0
1,6010950015,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.            ",258384,SD,173795,0.104167,15.0
2,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",317641,SD,173784,0.034722,5.0
3,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,SD,173794,0.493056,71.0
4,6010960007,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.            ",258384,SD,173797,0.125,18.0
5,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",274066,SD,174160,0.125,20.0
6,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",261131,SD,174158,0.125,20.0
7,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",337685,SD,174167,0.55,88.0
8,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",323541,SD,174159,0.0625,10.0
9,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",280889,SD,174171,0.0625,10.0
10,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",261131,SD,174158,0.025641,4.0
11,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",323541,SD,174159,0.019231,3.0
12,6010900001,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",225591,SD,173799,0.032895,10.0
13,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",274066,SD,174160,0.044872,7.0
14,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",261131,SD,174158,0.121795,19.0
15,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",323541,SD,174159,0.076923,12.0
16,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",361890,SD,174228,0.032051,5.0
17,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",228600,SD,173757,0.016447,5.0
18,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",361890,SD,174228,0.032895,10.0
19,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",261131,SD,174158,0.135135,25.0
20,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",323541,SD,174159,0.081081,15.0
21,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",280889,SD,174171,0.108108,20.0
22,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",274066,SD,173889,1.0,72.0
23,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",274066,SD,173889,2.0,100.0
24,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",321388,SD,174163,0.06,3.0
25,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",264008,SD,661362,0.088462,23.0
26,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",274066,SD,660859,0.176923,46.0
27,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",261138,SD,661287,0.076923,20.0
28,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",277494,SD,661156,0.230769,60.0
29,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",301161,SD,660721,0.125,10.0
30,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",225582,SD,660782,1.0,260.0
31,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",261138,SD,660785,0.019231,5.0
32,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",319406,SD,661018,0.5,72.0
33,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",242156,SD,661062,2.5,200.0
34,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",307199,SD,661310,0.6,48.0
35,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",228600,SD,660701,0.175,14.0
36,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,SD,661280,1.0,80.0
37,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",280889,SD,661281,2.0,160.0
38,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",274749,SD,661199,0.076923,20.0
39,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",319406,SD,661286,1.0,260.0
40,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",305223,SD,660197,0.153846,40.0
41,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",241180,SD,661201,0.076923,20.0
42,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,SD,661181,0.076923,20.0
43,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",363993,SD,661182,0.076923,20.0
44,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",248095,SD,661291,1.0,260.0
45,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",354319,SD,661284,1.0,260.0
46,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",274749,SD,661199,0.125,18.0
47,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",319406,SD,661019,1.0,144.0
48,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",305223,SD,660197,0.125,18.0
49,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",248095,SD,660939,0.5,72.0
50,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",242156,SD,660997,0.735294,200.0
51,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",248095,SD,660939,1.0,272.0
52,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",261138,SD,661287,1.0,108.0
53,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",242156,SD,660997,1.851852,200.0
