,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
0,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",136,3/10/2024,      CDLDC,110322                        ,60,6010040002               ,0.0
1,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",502,3/11/2025,       CDVM,120323                        ,60,6010040002               ,7.0
2,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",434,1/2/2025,    CDCDCO1,010123                        ,105,6010040111               ,30.0
3,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",446,1/14/2025,    CDCDCF1,150123                        ,105,6010040111               ,1769.0
4,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",471,2/8/2025,    CDCDCF1,090223                        ,105,6010040111               ,662.0
5,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",537,4/15/2025,       CDGD,160423                        ,105,6010040111               ,571.0
6,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",715,10/10/2025,       CDGD,041023                        ,105,6010040111               ,110.0
7,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",239,6/21/2024,    CDCDCO1,220622                        ,144,6011270001               ,278.0
8,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",295,8/16/2024,       CDVM,170822                        ,144,6011270001               ,144.0
9,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",392,11/21/2024,       CDVM,221122                        ,144,6011270001               ,100.0
10,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",501,3/10/2025,       CDGD,110323                        ,144,6011270001               ,49.0
11,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",501,3/10/2025,    CDCDCF1,110323                        ,144,6011270001               ,13.0
12,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",692,9/17/2025,       CDGD,180923                        ,144,6011270001               ,1854.0
13,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",147,3/21/2024,    CDCDCO1,220322                        ,105,6011270002               ,117.0
14,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",294,8/15/2024,       CDVM,160822                        ,105,6011270002               ,0.0
15,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",326,9/16/2024,       CDGD,180922                        ,105,6011270002               ,0.0
16,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",326,9/16/2024,       CDVM,180922                        ,105,6011270002               ,0.0
17,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",392,11/21/2024,       CDGD,211122                        ,105,6011270002               ,1256.0
18,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",392,11/21/2024,    CDCDCF1,211122                        ,105,6011270002               ,68.0
19,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",392,11/21/2024,    CDCDCO1,211122                        ,105,6011270002               ,105.0
20,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",358,10/18/2024,    CDCDCO1,191022                        ,60,6010020204               ,0.0
21,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",403,12/2/2024,    CDCDCO1,011222                        ,60,6010020204               ,0.0
22,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",420,12/19/2024,    CDCDCO1,201222                        ,60,6010020204               ,0.0
23,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",465,2/2/2025,    CDCDCO1,020223                        ,60,6010020204               ,0.0
