,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,SKU,Fecha de Vencimiento,Cajas Disponibles
0,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,537,160423                        ,6010040111               ,4/15/2025,571.0
1,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,715,041023                        ,6010040111               ,10/10/2025,110.0
2,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",144,501,110323                        ,6011270001               ,3/10/2025,49.0
3,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",144,692,180923                        ,6011270001               ,9/17/2025,1854.0
4,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",105,326,180922                        ,6011270002               ,9/16/2024,0.0
5,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",105,392,211122                        ,6011270002               ,11/21/2024,1256.0
6,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,669,250823                        ,6010020204               ,8/25/2025,5.0
7,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,713,091023                        ,6010020204               ,10/8/2025,480.0
8,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,319,100922                        ,6010020199               ,9/9/2024,79.0
9,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,341,031022                        ,6010020199               ,10/1/2024,720.0
10,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",105,644,310723                        ,6010950016               ,7/31/2025,6444.0
11,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",105,666,210823                        ,6010950016               ,8/22/2025,2940.0
12,       CDGD,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",185,710,031023                        ,6010900033               ,10/5/2025,3700.0
13,       CDGD,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",160,510,210323                        ,6010900031               ,3/19/2025,717.0
14,       CDGD,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",156,515,250323                        ,6010900002               ,3/24/2025,65.0
15,       CDGD,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",160,711,071023                        ,6010900037               ,10/6/2025,3745.0
16,       CDGD,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",156,517,250323                        ,6010900018               ,3/26/2025,727.0
17,       CDGD,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",304,512,220323                        ,6010900017               ,3/21/2025,234.0
18,       CDGD,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",185,491,240223                        ,6010900024               ,2/28/2025,572.0
19,       CDGD,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",160,711,071023                        ,6010900040               ,10/6/2025,3744.0
20,       CDGD,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",60,698,240923                        ,6010010007               ,9/23/2025,74.0
21,       CDGD,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",60,711,071023                        ,6010010007               ,10/6/2025,0.0
22,       CDGD,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",60,720,161023                        ,6010010007               ,10/15/2025,24060.0
23,       CDGD,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,326,170922                        ,6010010184               ,9/16/2024,80.0
24,       CDGD,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,354,161022                        ,6010010184               ,10/14/2024,160.0
25,       CDGD,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,415,151222                        ,6010010184               ,12/14/2024,183.0
26,       CDGD,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,283,060822                        ,6010010077               ,8/4/2024,0.0
27,       CDGD,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,683,090923                        ,6010010077               ,9/8/2025,0.0
28,       CDGD,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,704,290923                        ,6010010077               ,9/29/2025,0.0
29,       CDGD,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,726,231023                        ,6010010077               ,10/21/2025,14690.0
30,       CDGD,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,729,251023                        ,6010010077               ,10/24/2025,16200.0
