,Depósito Padre,cajas_x_pallets,SKU,Descripción,Fecha de Vencimiento,Dias al Vencimiento,Lote,Cajas Disponibles
0,       CDGD,50,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",8/13/2025,657,120823                        ,4.0
1,       CDGD,50,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",10/1/2025,706,021023                        ,1610.0
2,       CDGD,60,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",9/23/2025,698,240923                        ,74.0
3,       CDGD,60,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",10/6/2025,711,071023                        ,0.0
4,       CDGD,60,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",10/15/2025,720,161023                        ,24060.0
5,       CDGD,60,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",9/10/2025,685,110923                        ,26.0
6,       CDGD,60,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",9/19/2025,694,190923                        ,0.0
7,       CDGD,60,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",9/27/2025,702,280923                        ,12.0
8,       CDGD,60,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",9/9/2024,319,100922                        ,79.0
9,       CDGD,60,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",10/1/2024,341,031022                        ,720.0
10,       CDGD,60,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",8/25/2025,669,250823                        ,5.0
11,       CDGD,60,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",10/8/2025,713,091023                        ,480.0
12,       CDGD,60,6010570019               ,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.",3/13/2025,504,120323                        ,0.0
13,       CDGD,60,6011570002               ,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.",4/11/2025,533,120423                        ,3349.0
14,       CDGD,72,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",8/4/2024,283,060822                        ,0.0
15,       CDGD,72,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",9/8/2025,683,090923                        ,0.0
16,       CDGD,72,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",9/29/2025,704,290923                        ,0.0
17,       CDGD,72,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",10/21/2025,726,231023                        ,14690.0
18,       CDGD,72,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",10/24/2025,729,251023                        ,16200.0
19,       CDGD,72,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.",4/10/2025,532,090423                        ,3630.0
20,       CDGD,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",3/13/2024,139,170623                        ,2.0
21,       CDGD,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",5/22/2024,209,260823                        ,119.0
22,       CDGD,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",5/28/2024,215,010923                        ,640.0
23,       CDGD,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",7/4/2024,252,081023                        ,3200.0
24,       CDGD,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/1/2024,158,R060723                       ,8.0
25,       CDGD,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",4/2/2024,159,R070723                       ,80.0
26,       CDGD,80,6040100003               ,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.",7/19/2024,267,230923                        ,320.0
27,       CDGD,80,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",3/4/2024,130,080623                        ,0.0
28,       CDGD,80,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",6/27/2024,245,011023                        ,160.0
29,       CDGD,80,6090020012               ,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",3/25/2024,151,300523                        ,25.0
30,       CDGD,80,6090020012               ,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",6/19/2024,237,240823                        ,96.0
31,       CDGD,80,6090020012               ,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",7/15/2024,263,190923                        ,80.0
32,       CDGD,105,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",4/15/2025,537,160423                        ,571.0
33,       CDGD,105,6010040111               ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",10/10/2025,715,041023                        ,110.0
34,       CDGD,105,6010950016               ,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",7/31/2025,644,310723                        ,6444.0
35,       CDGD,105,6010950016               ,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",8/22/2025,666,210823                        ,2940.0
36,       CDGD,105,6011270002               ,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",9/16/2024,326,180922                        ,0.0
37,       CDGD,105,6011270002               ,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",11/21/2024,392,211122                        ,1256.0
38,       CDGD,108,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",4/8/2024,165,130723                        ,83.0
39,       CDGD,108,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",5/28/2024,215,010923                        ,0.0
40,       CDGD,108,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",7/1/2024,249,051023                        ,9432.0
41,       CDGD,108,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",4/20/2024,177,R250723                       ,720.0
42,       CDGD,108,6030050072               ,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6/7/2024,225,R110923                       ,0.0
43,       CDGD,144,6011270001               ,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",3/10/2025,501,110323                        ,49.0
44,       CDGD,144,6011270001               ,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",9/17/2025,692,180923                        ,1854.0
45,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/18/2024,205,220823                        ,0.0
46,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/20/2024,207,240823                        ,0.0
47,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",5/28/2024,215,010923                        ,0.0
48,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/6/2024,224,100923                        ,0.0
49,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/10/2024,228,140923                        ,80.0
50,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/11/2024,229,150923                        ,0.0
51,       CDGD,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",7/2/2024,250,061023                        ,11178.0
52,       CDGD,144,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6/11/2024,229,160823                        ,1039.0
