,Fecha de Vencimiento,SKU,cajas_x_pallets,Descripción,Depósito Padre,Dias al Vencimiento,Lote,Cajas Disponibles
0,2/26/2024,6030010129               ,377,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",    CDCDCO1,123,010723                        ,290.0
1,2/26/2024,6050100007               ,260,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",    CDCDCO1,123,010623                        ,0.0
2,2/27/2024,6050100002               ,272,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",       CDPI,124,020623                        ,4074.0
3,2/27/2024,6050100002               ,272,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",    CDCDCO1,124,020623                        ,0.0
4,3/4/2024,6030010019               ,144,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",    CDCDCO1,130,080623                        ,0.0
5,3/4/2024,6030010026               ,108,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",    CDCDCO1,130,080623                        ,1087.0
6,3/4/2024,6030010129               ,377,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",       CDGD,130,080723                        ,285.0
7,3/4/2024,6030050074               ,80,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",    CDCDCO1,130,R080623                       ,0.0
8,3/4/2024,6050100004               ,80,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",       CDGD,130,080623                        ,0.0
9,3/4/2024,6050100004               ,80,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",       CDVM,130,080623                        ,554.0
10,3/4/2024,6050100004               ,80,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",    CDCDCO1,130,080623                        ,34.0
11,3/6/2024,6030050070               ,260,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",       CDGD,132,R100623                       ,0.0
12,3/6/2024,6030050074               ,80,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",    CDCDCO1,132,R100623                       ,0.0
13,3/7/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",       CDPI,133,110623                        ,367.0
14,3/7/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",    CDCDCO1,133,110623                        ,0.0
15,3/7/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",    CDVMZPA,133,110623                        ,2028.0
16,3/8/2024,6030050071               ,144,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",    CDCDCO1,134,R120623                       ,0.0
17,3/9/2024,6030050071               ,144,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",    CDCDCO1,135,R130623                       ,0.0
18,3/9/2024,6040100001               ,377,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",    CDCDCO1,135,130723                        ,29.0
19,3/10/2024,6010040002               ,60,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",      CDLDC,136,110322                        ,0.0
20,3/10/2024,6030010170               ,272,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",    CDCDCO1,136,140623                        ,0.0
21,3/11/2024,6030050070               ,260,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",    CDCDCO1,137,R150623                       ,0.0
22,3/13/2024,6030010019               ,144,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",    CDCDCO1,139,170623                        ,0.0
23,3/13/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",       CDGD,139,170623                        ,2.0
24,3/13/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",       CDPI,139,170623                        ,3840.0
25,3/13/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",      CDLDC,139,170623                        ,1195.0
26,3/13/2024,6030010208               ,80,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",    CDVMZPA,139,170623                        ,3840.0
27,3/19/2024,6030050070               ,260,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",    CDCDCO1,145,R230623                       ,0.0
28,3/21/2024,6011270002               ,105,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",    CDCDCO1,147,220322                        ,117.0
29,3/22/2024,6030010007               ,260,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",    CDCDCO1,148,250622                        ,0.0
30,3/23/2024,6030010019               ,144,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",    CDCDCO1,149,270623                        ,0.0
31,3/25/2024,6030050070               ,260,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",    CDCDCO1,151,R290623                       ,0.0
32,3/25/2024,6090020012               ,80,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",       CDGD,151,300523                        ,25.0
33,3/25/2024,6090020012               ,80,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.",    CDCDCO1,151,300523                        ,0.0
34,3/26/2024,6030050071               ,144,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",    CDCDCO1,152,R300623                       ,0.0
35,3/27/2024,6030010007               ,260,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",       CDGD,153,010723                        ,0.0
36,3/27/2024,6030010007               ,260,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",       CDPI,153,010723                        ,20954.0
37,3/27/2024,6030010007               ,260,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",    CDCDCO1,153,010723                        ,0.0
