,Dias al Vencimiento,Depósito Padre,Lote,Descripción,Fecha de Vencimiento,SKU,cajas_x_pallets,Cajas Disponibles
0,123,    CDCDCO1,010623                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",2/26/2024,6050100007               ,260,0.0
1,123,    CDCDCO1,010723                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",2/26/2024,6030010129               ,377,290.0
2,124,       CDPI,020623                        ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",2/27/2024,6050100002               ,272,4074.0
3,124,    CDCDCO1,020623                        ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",2/27/2024,6050100002               ,272,0.0
4,130,       CDGD,080623                        ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",3/4/2024,6050100004               ,80,0.0
5,130,       CDGD,080723                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",3/4/2024,6030010129               ,377,285.0
6,130,       CDVM,080623                        ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",3/4/2024,6050100004               ,80,554.0
7,130,    CDCDCO1,080623                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",3/4/2024,6030010019               ,144,0.0
8,130,    CDCDCO1,080623                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",3/4/2024,6030010026               ,108,1087.0
9,130,    CDCDCO1,080623                        ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",3/4/2024,6050100004               ,80,34.0
10,130,    CDCDCO1,R080623                       ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",3/4/2024,6030050074               ,80,0.0
11,132,       CDGD,R100623                       ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",3/6/2024,6030050070               ,260,0.0
12,132,    CDCDCO1,R100623                       ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",3/6/2024,6030050074               ,80,0.0
13,133,       CDPI,110623                        ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",3/7/2024,6030010208               ,80,367.0
