,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
0,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",6010040111               ,041023                        ,10/10/2025,105,715,110.0
1,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",6010040111               ,160423                        ,4/15/2025,105,537,571.0
2,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",6011270001               ,110323                        ,3/10/2025,144,501,49.0
3,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",6011270001               ,180923                        ,9/17/2025,144,692,1854.0
4,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",6011270002               ,180922                        ,9/16/2024,105,326,0.0
5,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",6011270002               ,211122                        ,11/21/2024,105,392,1256.0
6,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",6010020204               ,091023                        ,10/8/2025,60,713,480.0
7,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",6010020204               ,250823                        ,8/25/2025,60,669,5.0
8,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",6010020199               ,031022                        ,10/1/2024,60,341,720.0
9,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",6010020199               ,100922                        ,9/9/2024,60,319,79.0
10,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",6010950016               ,210823                        ,8/22/2025,105,666,2940.0
11,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",6010950016               ,310723                        ,7/31/2025,105,644,6444.0
12,       CDGD,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",6010900033               ,031023                        ,10/5/2025,185,710,3700.0
13,       CDGD,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",6010900031               ,210323                        ,3/19/2025,160,510,717.0
14,       CDGD,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",6010900002               ,250323                        ,3/24/2025,156,515,65.0
15,       CDGD,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",6010900037               ,071023                        ,10/6/2025,160,711,3745.0
16,       CDGD,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",6010900018               ,250323                        ,3/26/2025,156,517,727.0
