,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
0,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,537,160423                        ,4/15/2025,6010040111               ,571.0
1,       CDGD,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",105,715,041023                        ,10/10/2025,6010040111               ,110.0
2,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",144,501,110323                        ,3/10/2025,6011270001               ,49.0
3,       CDGD,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",144,692,180923                        ,9/17/2025,6011270001               ,1854.0
4,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",105,326,180922                        ,9/16/2024,6011270002               ,0.0
5,       CDGD,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",105,392,211122                        ,11/21/2024,6011270002               ,1256.0
6,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,669,250823                        ,8/25/2025,6010020204               ,5.0
7,       CDGD,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,713,091023                        ,10/8/2025,6010020204               ,480.0
8,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,319,100922                        ,9/9/2024,6010020199               ,79.0
9,       CDGD,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,341,031022                        ,10/1/2024,6010020199               ,720.0
10,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",105,644,310723                        ,7/31/2025,6010950016               ,6444.0
11,       CDGD,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",105,666,210823                        ,8/22/2025,6010950016               ,2940.0
12,       CDGD,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",185,710,031023                        ,10/5/2025,6010900033               ,3700.0
13,       CDGD,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",160,510,210323                        ,3/19/2025,6010900031               ,717.0
14,       CDGD,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",156,515,250323                        ,3/24/2025,6010900002               ,65.0
15,       CDGD,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",160,711,071023                        ,10/6/2025,6010900037               ,3745.0
16,       CDGD,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",156,517,250323                        ,3/26/2025,6010900018               ,727.0
17,       CDGD,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",304,512,220323                        ,3/21/2025,6010900017               ,234.0
18,       CDGD,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",185,491,240223                        ,2/28/2025,6010900024               ,572.0
19,       CDGD,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",160,711,071023                        ,10/6/2025,6010900040               ,3744.0
20,       CDGD,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",60,698,240923                        ,9/23/2025,6010010007               ,74.0
21,       CDGD,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",60,711,071023                        ,10/6/2025,6010010007               ,0.0
