,Descripción,Lote,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,Depósito Padre,SKU,Cajas Disponibles
0,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",110322                        ,136,60,3/10/2024,      CDLDC,6010040002               ,0.0
1,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",120323                        ,502,60,3/11/2025,       CDVM,6010040002               ,7.0
2,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",010123                        ,434,105,1/2/2025,    CDCDCO1,6010040111               ,30.0
3,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",041023                        ,715,105,10/10/2025,       CDGD,6010040111               ,110.0
4,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",090223                        ,471,105,2/8/2025,    CDCDCF1,6010040111               ,662.0
5,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",150123                        ,446,105,1/14/2025,    CDCDCF1,6010040111               ,1769.0
6,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",160423                        ,537,105,4/15/2025,       CDGD,6010040111               ,571.0
7,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",110323                        ,501,144,3/10/2025,       CDGD,6011270001               ,49.0
8,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",110323                        ,501,144,3/10/2025,    CDCDCF1,6011270001               ,13.0
9,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",170822                        ,295,144,8/16/2024,       CDVM,6011270001               ,144.0
10,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",180923                        ,692,144,9/17/2025,       CDGD,6011270001               ,1854.0
11,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",220622                        ,239,144,6/21/2024,    CDCDCO1,6011270001               ,278.0
12,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL",221122                        ,392,144,11/21/2024,       CDVM,6011270001               ,100.0
13,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",160822                        ,294,105,8/15/2024,       CDVM,6011270002               ,0.0
14,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",180922                        ,326,105,9/16/2024,       CDGD,6011270002               ,0.0
15,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",180922                        ,326,105,9/16/2024,       CDVM,6011270002               ,0.0
16,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",211122                        ,392,105,11/21/2024,       CDGD,6011270002               ,1256.0
17,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",211122                        ,392,105,11/21/2024,    CDCDCF1,6011270002               ,68.0
18,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",211122                        ,392,105,11/21/2024,    CDCDCO1,6011270002               ,105.0
19,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",220322                        ,147,105,3/21/2024,    CDCDCO1,6011270002               ,117.0
20,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",011222                        ,403,60,12/2/2024,    CDCDCO1,6010020204               ,0.0
21,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",020223                        ,465,60,2/2/2025,    CDCDCO1,6010020204               ,0.0
22,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",020523                        ,554,60,5/2/2025,    CDCDCO1,6010020204               ,0.0
23,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",060423                        ,527,60,4/5/2025,       CDVM,6010020204               ,0.0
24,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",060423                        ,527,60,4/5/2025,    CDCDCO1,6010020204               ,0.0
25,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",070723                        ,619,60,7/6/2025,    CDCDCO1,6010020204               ,0.0
26,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",080823                        ,652,60,8/8/2025,    CDCDCO1,6010020204               ,1407.0
27,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,713,60,10/8/2025,       CDGD,6010020204               ,480.0
28,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,713,60,10/8/2025,    CDCDCO1,6010020204               ,5040.0
29,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",110323                        ,505,60,3/14/2025,    CDCDCO1,6010020204               ,0.0
30,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",150223                        ,478,60,2/15/2025,    CDCDCO1,6010020204               ,0.0
31,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",160523                        ,567,60,5/15/2025,    CDCDCO1,6010020204               ,0.0
32,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",191022                        ,358,60,10/18/2024,    CDCDCO1,6010020204               ,0.0
33,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",201222                        ,420,60,12/19/2024,    CDCDCO1,6010020204               ,0.0
34,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250723                        ,637,60,7/24/2025,    CDCDCO1,6010020204               ,0.0
35,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,669,60,8/25/2025,       CDGD,6010020204               ,5.0
36,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,669,60,8/25/2025,    CDCDCO1,6010020204               ,6900.0
37,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",270223                        ,490,60,2/27/2025,    CDCDCO1,6010020204               ,0.0
38,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",031022                        ,341,60,10/1/2024,       CDGD,6010020199               ,720.0
39,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,319,60,9/9/2024,       CDGD,6010020199               ,79.0
40,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,319,60,9/9/2024,    CDCDCO1,6010020199               ,60.0
41,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.",120722                        ,260,144,7/12/2024,    CDCDCO1,6010950015               ,0.0
42,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",090723                        ,623,105,7/10/2025,    CDCDCF1,6010950016               ,1917.0
43,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",120623                        ,596,105,6/13/2025,    CDCDCF1,6010950016               ,195.0
44,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",150323                        ,505,105,3/14/2025,    CDCDCO1,6010950016               ,0.0
45,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",210823                        ,666,105,8/22/2025,       CDGD,6010950016               ,2940.0
46,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",250422                        ,183,105,4/26/2024,    CDCDCO1,6010950016               ,0.0
47,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,105,7/31/2025,       CDGD,6010950016               ,6444.0
48,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,105,7/31/2025,       CDVM,6010950016               ,60.0
49,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,105,7/31/2025,    CDCDCF1,6010950016               ,2100.0
50,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.",220622                        ,240,144,6/22/2024,    CDCDCO1,6010960007               ,0.0
51,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",031023                        ,710,185,10/5/2025,       CDGD,6010900033               ,3700.0
52,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,260,160,7/12/2024,    CDCDCO1,6010900031               ,0.0
53,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,160,3/19/2025,       CDGD,6010900031               ,717.0
54,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,160,3/19/2025,       CDVM,6010900031               ,125.0
55,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,160,3/19/2025,    CDCDCF1,6010900031               ,1.0
56,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,160,3/19/2025,    CDCDCO1,6010900031               ,0.0
57,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",160522                        ,202,156,5/15/2024,    CDCDCO1,6010900002               ,0.0
58,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",210922                        ,330,156,9/20/2024,    CDCDCF1,6010900002               ,8.0
59,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,156,3/24/2025,       CDGD,6010900002               ,65.0
60,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,156,3/24/2025,       CDVM,6010900002               ,41.0
61,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,156,3/24/2025,    CDCDCF1,6010900002               ,120.0
62,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220323                        ,513,304,3/22/2025,       CDVM,6010900001               ,18.0
63,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220323                        ,513,304,3/22/2025,    CDCDCO1,6010900001               ,0.0
64,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220822                        ,301,304,8/22/2024,    CDCDCO1,6010900001               ,0.0
65,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",071023                        ,711,160,10/6/2025,       CDGD,6010900037               ,3745.0
66,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,259,160,7/11/2024,       CDVM,6010900032               ,0.0
67,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,259,160,7/11/2024,    CDCDCO1,6010900032               ,0.0
68,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,511,160,3/20/2025,       CDVM,6010900032               ,68.0
69,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",210422                        ,177,156,4/20/2024,    CDCDCO1,6010900018               ,0.0
70,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,517,156,3/26/2025,       CDGD,6010900018               ,727.0
71,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,517,156,3/26/2025,       CDVM,6010900018               ,0.0
72,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250822                        ,304,156,8/25/2024,    CDCDCF1,6010900018               ,104.0
73,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",060622                        ,223,304,6/5/2024,    CDCDCO1,6010900017               ,0.0
74,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",220323                        ,512,304,3/21/2025,       CDGD,6010900017               ,234.0
75,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",010822                        ,281,185,8/2/2024,    CDCDCO1,6010900024               ,0.0
76,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",211222                        ,421,185,12/20/2024,       CDVM,6010900024               ,301.0
77,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",211222                        ,421,185,12/20/2024,    CDCDCO1,6010900024               ,185.0
78,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,185,2/28/2025,       CDGD,6010900024               ,572.0
79,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,185,2/28/2025,       CDVM,6010900024               ,1850.0
80,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,185,2/28/2025,    CDCDCO1,6010900024               ,0.0
81,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",071023                        ,711,160,10/6/2025,       CDGD,6010900040               ,3744.0
82,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",010922                        ,310,60,8/31/2024,       CDVM,6010010007               ,0.0
83,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",010922                        ,310,60,8/31/2024,    CDCDCO1,6010010007               ,0.0
84,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",030323                        ,493,60,3/2/2025,    CDCDCO1,6010010007               ,0.0
85,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,60,8/4/2025,       CDVM,6010010007               ,40.0
86,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,60,8/4/2025,      CDCAU,6010010007               ,0.0
87,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,60,8/4/2025,    CDCDCO1,6010010007               ,0.0
88,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",061222                        ,406,60,12/5/2024,    CDCDCO1,6010010007               ,0.0
89,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",071023                        ,711,60,10/6/2025,       CDGD,6010010007               ,0.0
90,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",090822                        ,287,60,8/8/2024,    CDCDCO1,6010010007               ,0.0
91,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",110922                        ,320,60,9/10/2024,    CDCDCO1,6010010007               ,0.0
92,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",130823                        ,656,60,8/12/2025,    CDCDCO1,6010010007               ,0.0
93,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",160223                        ,478,60,2/15/2025,    CDCDCO1,6010010007               ,0.0
