,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
0, 230723                       ,"MOSTAZA,ADEREZO NATURA,12,250GR,DP,CT,ESP,M.I.",213,260,5/26/2024,6090020009               ,    CDCDCO1,0.0
1,010123                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",434,105,1/2/2025,6010040111               ,    CDCDCO1,30.0
2,010623                        ,"MOSTAZA,ADEREZO NATURA,12,500G,DP,CT,ESP,M.I.",153,144,3/27/2024,6090020011               ,    CDCDCO1,0.0
3,010623                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",123,260,2/26/2024,6050100007               ,    CDCDCO1,0.0
4,010722                        ,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MERCADO INTER",184,260,4/27/2024,6040100010               ,       CDVM,0.0
5,010723                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",183,144,4/26/2024,6040100009               ,       CDVM,23.0
6,010723                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",153,260,3/27/2024,6030010007               ,       CDGD,0.0
7,010723                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",153,260,3/27/2024,6030010007               ,       CDPI,20954.0
8,010723                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",153,260,3/27/2024,6030010007               ,    CDCDCO1,0.0
9,010723                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",153,260,3/27/2024,6030010007               ,    CDVMZPA,30171.0
10,010723                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",153,144,3/27/2024,6030010019               ,    CDCDCO1,1738.0
11,010723                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",123,377,2/26/2024,6030010129               ,    CDCDCO1,290.0
12,010723                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",153,272,3/27/2024,6030010170               ,    CDCDCO1,0.0
13,010822                        ,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",281,185,8/2/2024,6010900024               ,    CDCDCO1,0.0
14,010823                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",644,72,7/31/2025,6010010077               ,    CDCDCO1,0.0
15,010823                        ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",644,50,7/31/2025,6010010008               ,    CDCDCO1,0.0
16,010823                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,144,5/27/2024,6040100009               ,       CDGD,74.0
17,010823                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,144,5/27/2024,6040100009               ,       CDVM,91.0
18,010823                        ,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.",214,144,5/27/2024,6040100009               ,    CDCDCF1,555.0
19,010823                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",184,260,4/27/2024,6030010007               ,    CDVMZPA,12480.0
20,010823                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",184,144,4/27/2024,6030010019               ,    CDCDCO1,3744.0
21,010823                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",184,272,4/27/2024,6030010170               ,    CDCDCO1,2096.0
22,010823                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",184,108,4/27/2024,6030010026               ,    CDCDCF1,108.0
23,010823                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",184,108,4/27/2024,6030010026               ,    CDCDCO1,4212.0
24,010823                        ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",184,108,4/27/2024,6030010026               ,    CDVMZPA,13556.0
25,010823                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",184,260,4/27/2024,6050100007               ,       CDGD,56.0
26,010823                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",184,260,4/27/2024,6050100007               ,    CDCDCO1,555.0
27,010823                        ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",184,260,4/27/2024,6050100007               ,    CDVMZPA,12475.0
28,010922                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",310,60,8/31/2024,6010010007               ,       CDVM,0.0
29,010922                        ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",310,60,8/31/2024,6010010007               ,    CDCDCO1,0.0
30,010922                        ,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.",312,105,9/2/2024,6010570018               ,    CDCDCO1,0.0
31,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",215,260,5/28/2024,6030010007               ,      CDLDC,9131.0
32,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",215,260,5/28/2024,6030010007               ,    CDCDCF1,27710.0
33,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",215,260,5/28/2024,6030010007               ,    CDCDCO1,4680.0
34,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,       CDGD,0.0
35,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,       CDVM,432.0
36,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,    CDCDCF1,7728.0
37,010923                        ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",215,144,5/28/2024,6030010019               ,    CDCDCO1,4608.0
