,Fecha de Vencimiento,Lote,Depósito Padre,cajas_x_pallets,SKU,Descripción,Dias al Vencimiento,Cajas Disponibles
0,2/26/2024,010623                        ,    CDCDCO1,260,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",123,0.0
1,2/26/2024,010723                        ,    CDCDCO1,377,6030010129               ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",123,290.0
2,2/27/2024,020623                        ,       CDPI,272,6050100002               ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",124,4074.0
3,2/27/2024,020623                        ,    CDCDCO1,272,6050100002               ,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.",124,0.0
4,3/4/2024,080623                        ,       CDGD,80,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",130,0.0
5,3/4/2024,080623                        ,       CDVM,80,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",130,554.0
6,3/4/2024,080623                        ,    CDCDCO1,80,6050100004               ,"SGOLF,NATURA,4,2900 CC,SH,ST,ESP,M.I.",130,34.0
7,3/4/2024,080623                        ,    CDCDCO1,108,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL",130,1087.0
8,3/4/2024,080623                        ,    CDCDCO1,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",130,0.0
9,3/4/2024,080723                        ,       CDGD,377,6030010129               ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",130,285.0
10,3/4/2024,R080623                       ,    CDCDCO1,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",130,0.0
11,3/6/2024,R100623                       ,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",132,0.0
12,3/6/2024,R100623                       ,    CDCDCO1,80,6030050074               ,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN TAPA),ESP,",132,0.0
13,3/7/2024,110623                        ,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",133,367.0
14,3/7/2024,110623                        ,    CDCDCO1,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",133,0.0
15,3/7/2024,110623                        ,    CDVMZPA,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",133,2028.0
16,3/8/2024,R120623                       ,    CDCDCO1,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",134,0.0
17,3/9/2024,130723                        ,    CDCDCO1,377,6040100001               ,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.",135,29.0
18,3/9/2024,R130623                       ,    CDCDCO1,144,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",135,0.0
19,3/10/2024,110322                        ,      CDLDC,60,6010040002               ,"AC,CADA DIA,GIR,12X1,5L,B,ESP,M.I.",136,0.0
20,3/10/2024,140623                        ,    CDCDCO1,272,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",136,0.0
21,3/11/2024,R150623                       ,    CDCDCO1,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",137,0.0
22,3/13/2024,170623                        ,       CDGD,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",139,2.0
23,3/13/2024,170623                        ,       CDPI,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",139,3840.0
24,3/13/2024,170623                        ,      CDLDC,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",139,1195.0
25,3/13/2024,170623                        ,    CDCDCO1,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",139,0.0
26,3/13/2024,170623                        ,    CDVMZPA,80,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",139,3840.0
27,3/19/2024,R230623                       ,    CDCDCO1,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",145,0.0
28,3/21/2024,220322                        ,    CDCDCO1,105,6011270002               ,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL",147,117.0
29,3/22/2024,250622                        ,    CDCDCO1,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",148,0.0
30,3/23/2024,270623                        ,    CDCDCO1,144,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",149,0.0
